source;target;weight
00049ff1-a93b-4b1e-93c2-596a32816c2b;44efca6c-9f68-4328-b4e4-1c06fb1ca46a;1
00049ff1-a93b-4b1e-93c2-596a32816c2b;e3d1afdd-2562-42c2-bfda-b1cf29b3be0c;4
00049ff1-a93b-4b1e-93c2-596a32816c2b;NA;1
00073ef5-0bb0-46dc-a60d-eb63b1c7e6f4;4e8ade86-5545-4a2d-857e-47a3c5fb611c;1
00073ef5-0bb0-46dc-a60d-eb63b1c7e6f4;51692ed0-b3b4-4528-b8ba-0d1f50aabe1a;2
00255fd1-f709-4b39-b5d9-8305d3692ff9;717e82f9-8319-4503-8a46-7fa6af21d733;1
00255fd1-f709-4b39-b5d9-8305d3692ff9;87e01159-4a8e-41d1-9482-2d080ce79eea;1
00255fd1-f709-4b39-b5d9-8305d3692ff9;93fea618-2520-4e3b-9500-c427b677c03a;1
00255fd1-f709-4b39-b5d9-8305d3692ff9;b889abeb-e4bb-4d21-8517-207bd32dbb82;1
00255fd1-f709-4b39-b5d9-8305d3692ff9;beed365e-67a8-48f0-942c-93cc17a5779d;3
00255fd1-f709-4b39-b5d9-8305d3692ff9;f0328d85-4201-4dd3-9dbf-cecfa1a2e2d3;1
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;0e1cb85f-d7e2-4859-9ae7-165e9e223efd;2
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;d09e80cd-d0d5-4758-a89e-b47e939beebd;1
002d7248-7875-40c9-9e7e-7d950a1d3d92;NA;3
00456583-74c5-4006-a62d-2bc1f759f352;1b10bf7c-933f-49e1-b1d3-170dba093400;1
00456583-74c5-4006-a62d-2bc1f759f352;dedf6e38-89a6-4b25-8fff-7fc23e744255;1
00456583-74c5-4006-a62d-2bc1f759f352;e35ce7a4-1889-4bc8-929b-b7baa310626d;22
00456583-74c5-4006-a62d-2bc1f759f352;NA;7
007a3b73-2f2c-4ecc-b572-3aa7fb852436;1dcafbac-38f4-419c-8ebf-33415fcaae52;1
007a3b73-2f2c-4ecc-b572-3aa7fb852436;8600d84b-f033-4405-ad97-2bfac006dde4;3
007a3b73-2f2c-4ecc-b572-3aa7fb852436;NA;1
00836491-91a2-450c-8a60-37f02ff4f116;360ed2f7-9077-4881-8811-f37b7529908c;3
00836491-91a2-450c-8a60-37f02ff4f116;c94fc327-7f2e-4698-8738-76fff9c5a09d;2
00836491-91a2-450c-8a60-37f02ff4f116;f67b848c-48c3-4def-b599-578b88a88353;2
00836491-91a2-450c-8a60-37f02ff4f116;NA;1
0097df87-10d2-401b-8cd1-448d596b5cf6;01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;6
0097df87-10d2-401b-8cd1-448d596b5cf6;04c9ec54-86c6-4cf5-a9f4-55ef8e910c28;2
0097df87-10d2-401b-8cd1-448d596b5cf6;06d30035-abfb-4fc6-a257-bb4db3e0f656;3
0097df87-10d2-401b-8cd1-448d596b5cf6;6dbe5794-b9e8-471e-a6dc-37fdeceda014;2
0097df87-10d2-401b-8cd1-448d596b5cf6;75cfad58-b99f-4a59-9af4-83961bb31c17;1
0097df87-10d2-401b-8cd1-448d596b5cf6;7618b341-a341-454b-a71d-4abf94038679;5
0097df87-10d2-401b-8cd1-448d596b5cf6;768fa055-869e-4743-bd8f-b20f08eefdfb;1
0097df87-10d2-401b-8cd1-448d596b5cf6;85915e97-5851-44ac-bea4-a4938cfdcbe3;1
0097df87-10d2-401b-8cd1-448d596b5cf6;874ab599-863b-4b0c-b232-5172c2a08c1a;1
0097df87-10d2-401b-8cd1-448d596b5cf6;966c5ce4-2e90-4074-91d4-fade5bd44f23;1
0097df87-10d2-401b-8cd1-448d596b5cf6;b6cb501b-417d-465d-b5ab-2218cea86137;1
0097df87-10d2-401b-8cd1-448d596b5cf6;d59d0bba-c12f-42d6-ab07-ed099cc4f152;2
0097df87-10d2-401b-8cd1-448d596b5cf6;f109d10a-05a1-4242-ba7d-74419e6cb173;4
0097df87-10d2-401b-8cd1-448d596b5cf6;f2f2a8a1-427e-4178-a47e-45321f4dac9c;6
0097df87-10d2-401b-8cd1-448d596b5cf6;NA;8
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;361d690d-82a8-4bb3-85a4-f768d87d8bd0;1
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;85915e97-5851-44ac-bea4-a4938cfdcbe3;2
009d4542-d5ab-4fa1-bb9f-5f916b30da4e;NA;3
00b8e970-9028-44ca-8423-9ec59fd5dc7f;93fea618-2520-4e3b-9500-c427b677c03a;2
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;0868d808-e724-4384-90b7-fb30e3f2cf46;2
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;0e2d0c7f-911a-4a87-b748-7704baa67086;1
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;255ff37a-e74e-4d4f-b710-165dd2a01f19;1
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;796fe55a-0cde-4c67-b103-8059abe27f40;2
00bf182c-c7b7-46dc-8d0d-dff59c52ea98;NA;3
00cb1211-36dd-47e0-a004-a99259c3ed54;943ae0d7-0d91-4d78-b150-a6731f1b1935;1
00cb1211-36dd-47e0-a004-a99259c3ed54;fbc4ea43-af0f-4663-8910-92bdf64847c4;1
00cb1211-36dd-47e0-a004-a99259c3ed54;NA;6
0106ef28-787a-4eea-a400-116723df72c0;3820c2ab-11c6-424b-8040-3e85ce19566f;1
0106ef28-787a-4eea-a400-116723df72c0;41830c27-5c42-40df-b72b-20a5a9f9e453;1
0106ef28-787a-4eea-a400-116723df72c0;a45ec767-97a4-4a4a-b746-21361e9e608f;1
0106ef28-787a-4eea-a400-116723df72c0;b2b2324a-7dc5-47f1-b0fe-56135e0825b5;3
0106ef28-787a-4eea-a400-116723df72c0;b8850c00-8e36-4d51-9509-280424c67ce5;1
0106ef28-787a-4eea-a400-116723df72c0;NA;5
01175402-c6b2-443f-bd0d-518852e73b66;NA;4
01176f24-d63c-404c-a455-fe3e973d40fa;0e18c1f6-6a16-4278-a8c4-09c8ce7b31af;7
01176f24-d63c-404c-a455-fe3e973d40fa;1d56b384-135b-4975-a09c-e0d7a8d07b63;1
01176f24-d63c-404c-a455-fe3e973d40fa;1db09d06-fdc7-472d-9af9-39783ce8cbe8;3
01176f24-d63c-404c-a455-fe3e973d40fa;4d7c274c-1a33-4607-8841-2fce144ed969;1
01176f24-d63c-404c-a455-fe3e973d40fa;68bbfe37-6c89-4048-8e4f-a80d82bb8d19;1
01176f24-d63c-404c-a455-fe3e973d40fa;8ba71627-bd3c-4547-97cc-6b1464b947ed;1
01176f24-d63c-404c-a455-fe3e973d40fa;96cec053-b295-4bb5-b44b-371a08a754e2;4
01176f24-d63c-404c-a455-fe3e973d40fa;e4258503-5b44-4c83-bb11-932c71be08ca;1
01176f24-d63c-404c-a455-fe3e973d40fa;NA;9
011cc58f-6b5c-4629-acf0-53b03a39299d;1261d96d-1649-4a57-9f4c-f9108731c695;3
011cc58f-6b5c-4629-acf0-53b03a39299d;90d7373c-4773-4ddb-a516-a1e87a6e725a;3
011cc58f-6b5c-4629-acf0-53b03a39299d;NA;5
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;796fe55a-0cde-4c67-b103-8059abe27f40;2
0153647f-2f50-4f9e-8fa8-6f6bc6cb6b01;NA;2
015627e9-cdd1-4c03-89e0-13bbd956f0e6;f5889948-c51f-4d74-97cf-f4d7f1588873;1
01625f89-048f-4b7b-9ac5-dacc3cab10f2;17ccaae1-41f9-47f3-9054-f4ac5fb53b95;2
01625f89-048f-4b7b-9ac5-dacc3cab10f2;68232b6a-1544-4129-988d-2b227c17bbc5;3
01625f89-048f-4b7b-9ac5-dacc3cab10f2;bcaabccb-05d1-437e-a71d-8cfc3c68b8fd;3
01625f89-048f-4b7b-9ac5-dacc3cab10f2;d16e7577-b26d-425c-872d-030b2618bbea;1
01625f89-048f-4b7b-9ac5-dacc3cab10f2;f38f5622-00db-4cea-980f-208c35e98f28;1
01625f89-048f-4b7b-9ac5-dacc3cab10f2;NA;1
016e5f34-623a-431e-91dc-8d1798dc03d1;80194412-e621-4318-b4b5-f10e638051a0;1
0170a4ee-93cb-440a-b22a-5ea4a18b2819;2c2b3a4a-fff2-4ac7-b7bd-1603a889815b;1
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;0097df87-10d2-401b-8cd1-448d596b5cf6;8
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;04c9ec54-86c6-4cf5-a9f4-55ef8e910c28;3
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;7618b341-a341-454b-a71d-4abf94038679;7
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;df6d6cf9-a6f6-4fbb-905d-207e0e1dc807;6
01caacbb-ad8c-4ab2-8646-b6b1ee89c5be;NA;8
01d1bbbe-b3f6-421b-b877-d8d2a60db160;cf1ee23b-5e90-437d-b9c3-f51eb9ffa69f;3
01d1bbbe-b3f6-421b-b877-d8d2a60db160;NA;6
01e6db79-a39c-4c0b-b297-ab20c64afa92;4194387d-c3d0-4900-a7f4-42babeffc523;3
01e6db79-a39c-4c0b-b297-ab20c64afa92;82c99d55-dbef-4fbe-a295-6278192280b9;1
01fb2ebb-c863-478f-a070-6685b87de485;0f40a664-152b-47de-bfae-19c640428034;4
01fb2ebb-c863-478f-a070-6685b87de485;154b1259-4177-48d2-96ad-5a9efa139854;1
01fb2ebb-c863-478f-a070-6685b87de485;381f4d66-7d8e-43d8-87cb-ad4a96f27923;11
01fb2ebb-c863-478f-a070-6685b87de485;734dd868-987c-4e3e-85ff-4718a638b360;1
01fb2ebb-c863-478f-a070-6685b87de485;9dea122c-1b0a-4990-b442-b5edb8ab5568;2
01fb2ebb-c863-478f-a070-6685b87de485;b7a4edf1-a94c-42f1-9032-227cc8184b03;1
01fb2ebb-c863-478f-a070-6685b87de485;cf254fd9-7e05-4452-acab-3ba1031b7faf;2
01fb2ebb-c863-478f-a070-6685b87de485;NA;3
01fc7414-6376-4008-a111-a573aaf20d07;NA;1
0203e37c-4fe6-4836-8995-6b25b3afb495;fccc453d-501d-462a-b6d2-b80bf021319d;1
025058aa-cfa7-4b15-8bb0-34215a36d4aa;7eadf032-670d-4693-8f19-78e0105b3eec;1
025058aa-cfa7-4b15-8bb0-34215a36d4aa;9b7c9851-0d9b-4349-985e-7811f10080f1;2
02558fca-63fb-4285-8e9d-9ad7567c8e0d;22b6fe41-1531-4d1f-9c26-f55730f01cb3;1
02558fca-63fb-4285-8e9d-9ad7567c8e0d;2d37ac12-7db6-4edf-bbba-04681ef1825c;1
02558fca-63fb-4285-8e9d-9ad7567c8e0d;696b2b11-d70c-4dc2-8ee1-12b5edd33060;19
02558fca-63fb-4285-8e9d-9ad7567c8e0d;a26742d9-e667-4be0-a55f-b5300c5d6a3b;2
02558fca-63fb-4285-8e9d-9ad7567c8e0d;b161e78c-46d0-45e5-968f-29abcc897538;1
02558fca-63fb-4285-8e9d-9ad7567c8e0d;bf940c11-8968-469e-820f-fb6d1e6ea12a;4
02558fca-63fb-4285-8e9d-9ad7567c8e0d;e6b742fe-a400-46c8-870d-69db85201980;5
02558fca-63fb-4285-8e9d-9ad7567c8e0d;ecbeaf7d-adc8-49ee-9543-4cad0dae1a3b;2
02558fca-63fb-4285-8e9d-9ad7567c8e0d;NA;3
02576711-0572-48e3-8312-0b31f0cd1f34;6c8d6c89-8510-4a4c-afeb-d6e8000709b4;2
02753ebb-0e40-4962-8820-0446d01d7205;27e19a80-204c-4080-89e0-f7237558aaf8;2
02753ebb-0e40-4962-8820-0446d01d7205;615eab35-5664-4f28-b9d9-08b5c6015616;2
02753ebb-0e40-4962-8820-0446d01d7205;b1564057-756d-40e8-aa40-75a2066cec30;3
02753ebb-0e40-4962-8820-0446d01d7205;d07212b6-7adc-44f5-91bc-20b1a09ccba5;2
02753ebb-0e40-4962-8820-0446d01d7205;d7281056-8474-4c7b-8eea-a093938f1b6f;3
027ca15b-2a9c-40bd-943e-39f11dfc0889;8907747e-58a3-486a-bf76-fd60cb8666ab;1
027ca15b-2a9c-40bd-943e-39f11dfc0889;NA;1
0282864d-1ae1-4e0b-b583-6efd7db8fdfd;01f5c080-8b93-46e9-a6cd-c91ead2360d4;1
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;1d43860e-4e29-406c-934a-bf11f971e228;1
028b6aaa-e5d7-4e41-b6a8-591012aa8b2c;eb240068-db65-4404-a075-86c424ed8fdf;1
02dd872a-8e67-4047-9404-c7a6e77adad3;7ee05836-3f86-4fff-ae3d-82a318ccdd9d;1
02dd872a-8e67-4047-9404-c7a6e77adad3;a0cff0dc-f0f2-4223-9f9d-8f11938e877f;1
02dd872a-8e67-4047-9404-c7a6e77adad3;fc5e2763-daf4-4529-9aa9-d4a5bd320233;1
02dd872a-8e67-4047-9404-c7a6e77adad3;NA;1
0303aa27-386e-4538-97a8-d74e94d11e8f;8cddb849-f713-42a9-a2a1-7a6292f99885;1
0303aa27-386e-4538-97a8-d74e94d11e8f;bee9f188-f199-4d41-b86d-79c62553bf3a;1
03053e13-b750-4b30-8a14-d5216b1b331a;12be0fc7-4a9f-46e2-9621-07816f91cc34;1
03053e13-b750-4b30-8a14-d5216b1b331a;273900a0-e103-48f6-8144-2fb704b68297;3
03053e13-b750-4b30-8a14-d5216b1b331a;5e44f1fb-0a90-4138-9198-3e8445ad2bfc;4
03053e13-b750-4b30-8a14-d5216b1b331a;603e8b4f-f079-4463-8aef-eb94f7b4e267;1
03053e13-b750-4b30-8a14-d5216b1b331a;68232b6a-1544-4129-988d-2b227c17bbc5;1
03053e13-b750-4b30-8a14-d5216b1b331a;8749c382-354a-4baa-b50e-699daa559094;1
03053e13-b750-4b30-8a14-d5216b1b331a;ab0380f1-5de0-4bcb-9839-4b8322f2e41b;5
03053e13-b750-4b30-8a14-d5216b1b331a;c17a7f88-26d1-4c14-ad45-8b4b63ef5b83;1
03053e13-b750-4b30-8a14-d5216b1b331a;d99e7cf5-f62a-445d-a19e-e9aed0178d18;3
03053e13-b750-4b30-8a14-d5216b1b331a;e622be3b-580f-42c3-b910-75d789a55c74;1
03053e13-b750-4b30-8a14-d5216b1b331a;ea62f1f3-f491-4927-84b0-d6ea37a3efc1;1
03053e13-b750-4b30-8a14-d5216b1b331a;f12bf604-d169-483d-865d-f052872da244;1
03053e13-b750-4b30-8a14-d5216b1b331a;f38f5622-00db-4cea-980f-208c35e98f28;1
03053e13-b750-4b30-8a14-d5216b1b331a;NA;2
033913f3-30a4-4a09-9c33-0e8745b65a41;696b2b11-d70c-4dc2-8ee1-12b5edd33060;1
