author_id;label;first_name;last_name;institutes;publications
00049ff1-a93b-4b1e-93c2-596a32816c2b;Andrea Potz;Andrea;Potz;Labour and Social Law;41
00049ff1-a93b-4b1e-93c2-596a32816c2b;Andrea Potz;Andrea;Potz;Institute for Austrian and European Labor Law and Social Security Law (Kietaibl);41
00049ff1-a93b-4b1e-93c2-596a32816c2b;Andrea Potz;Andrea;Potz;Vienna University of Economics and Business;41
00073ef5-0bb0-46dc-a60d-eb63b1c7e6f4;Roman Karawatzki;Roman;Karawatzki;Institute for Statistics and Mathematics;3
00073ef5-0bb0-46dc-a60d-eb63b1c7e6f4;Roman Karawatzki;Roman;Karawatzki;Research Institute for Computational Methods;3
00255fd1-f709-4b39-b5d9-8305d3692ff9;Nikolaus Hautsch;Nikolaus;Hautsch;Institute for Financial Research;3
00255fd1-f709-4b39-b5d9-8305d3692ff9;Nikolaus Hautsch;Nikolaus;Hautsch;Institute for International Business (Puck);3
00255fd1-f709-4b39-b5d9-8305d3692ff9;Nikolaus Hautsch;Nikolaus;Hautsch;Institute for Finance, Banking and Insurance;3
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Institute for English Business Communication;70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Institute for English Business Communication (Mautner);70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Institute for English Business Communication (Köster);70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Slavonic Languages;70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Department of Romance Language;70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Vienna University of Economics and Business;70
0026071c-7b9b-4e9a-9fdd-1a0b795340bf;Peter Schifko;Peter;Schifko;Institute for English Business Communication;70
002d7248-7875-40c9-9e7e-7d950a1d3d92;Klaus Mayr;Klaus;Mayr;Institute for Austrian and European Labor Law and Social Security Law (Kietaibl);10
002d7248-7875-40c9-9e7e-7d950a1d3d92;Klaus Mayr;Klaus;Mayr;Institute for Austrian and European Labor Law and Social Security Law (Auer-Mayer);10
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;Institute for Production Management (Reiner);29
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;NA;29
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;Research Institute for Supply Chain Management;29
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;Vienna University of Economics and Business;29
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;Information Systems and Operations Management;29
00456583-74c5-4006-a62d-2bc1f759f352;Boualem Rabta;Boualem;Rabta;Institute for Production Management;29
007a3b73-2f2c-4ecc-b572-3aa7fb852436;Alexander Meschnig;Alexander;Meschnig;Education Sciences Group;6
00836491-91a2-450c-8a60-37f02ff4f116;Susanna Azevedo;Susanna;Azevedo;Institute for Sociology and Social Research;3
00836491-91a2-450c-8a60-37f02ff4f116;Susanna Azevedo;Susanna;Azevedo;NA;3
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Department of Economics (Badinger);72
0097df87-10d2-401b-8cd1-448d596b5cf6;Horst Reiger;Horst;Reiger;Soziologie und Empirische Sozialforschung (Mikl-Horke);72
