source;target;weight
001bfef0-e54e-414f-8fb7-5c7b4a04b559;0521adf7-f5ab-46ee-aa2c-afcabf74adbd;5
001bfef0-e54e-414f-8fb7-5c7b4a04b559;08122a88-e517-46c4-875c-f6edec887e6c;4
001bfef0-e54e-414f-8fb7-5c7b4a04b559;2ab0c2aa-0435-48b5-8db0-3523d9f12fa6;27
001bfef0-e54e-414f-8fb7-5c7b4a04b559;3b4eae15-6118-4ba2-bf39-d7b9d373fbdc;6
001bfef0-e54e-414f-8fb7-5c7b4a04b559;477d257e-4041-4676-9d20-d48cea9c7a60;89
001bfef0-e54e-414f-8fb7-5c7b4a04b559;6337ae13-4ea3-4036-be86-dc2f751641b9;6
001bfef0-e54e-414f-8fb7-5c7b4a04b559;9c7c0cfb-59a2-4bd1-8c08-01e4804d4d02;4
001bfef0-e54e-414f-8fb7-5c7b4a04b559;a67846b7-34e6-41ab-90c7-eedf016b651a;9
001bfef0-e54e-414f-8fb7-5c7b4a04b559;b3a90634-0427-472e-bcef-9c41c71f2f17;6
001bfef0-e54e-414f-8fb7-5c7b4a04b559;b58045d2-7f42-4d35-8c80-038d5041c74b;14
001bfef0-e54e-414f-8fb7-5c7b4a04b559;b760bce1-68f7-418c-a937-1e7dd1c1fb26;1
001bfef0-e54e-414f-8fb7-5c7b4a04b559;bbe6fbc1-b89d-48e2-b5c0-fe398984d659;5
026a4715-f082-409e-ba8f-04a868c5fd19;04dc86be-7a49-4140-93c4-ac48b421ca8e;5
026a4715-f082-409e-ba8f-04a868c5fd19;0593228b-d8c1-4680-b075-fe51fe47c512;1
026a4715-f082-409e-ba8f-04a868c5fd19;0655f8a9-ba30-4143-aa01-3bd764afaa5e;2
026a4715-f082-409e-ba8f-04a868c5fd19;0bd02392-8b95-4b37-8fbb-8b8838882d41;1
026a4715-f082-409e-ba8f-04a868c5fd19;18d8de12-4242-41db-8952-34059edafb3e;5
026a4715-f082-409e-ba8f-04a868c5fd19;39bc77d2-8e4c-4e18-8df1-25bcb522ca93;2
026a4715-f082-409e-ba8f-04a868c5fd19;448363c8-97b9-4683-9dfd-c2f260c382e7;8
026a4715-f082-409e-ba8f-04a868c5fd19;49ab4cd5-aea9-4123-8a80-a1005c55f57d;1
026a4715-f082-409e-ba8f-04a868c5fd19;58e5dc9c-bb82-4db6-9112-aed7e46bb6c2;74
026a4715-f082-409e-ba8f-04a868c5fd19;60adef92-2d6a-42aa-96e9-c05eade01e45;9
026a4715-f082-409e-ba8f-04a868c5fd19;81f6268e-4f2e-432e-8b27-fe969b298d3f;10
026a4715-f082-409e-ba8f-04a868c5fd19;8714caad-0d47-4def-a99e-6b8c1f689b51;9
026a4715-f082-409e-ba8f-04a868c5fd19;88445faa-0a08-49f5-b8b2-c5d68e4ad441;6
026a4715-f082-409e-ba8f-04a868c5fd19;945e06db-0443-4532-8015-27086b733c82;5
026a4715-f082-409e-ba8f-04a868c5fd19;9fdea8fb-60a4-4618-b116-9d4331c00938;4
026a4715-f082-409e-ba8f-04a868c5fd19;a02a3bcf-a50a-46dc-b4a7-39b86003bead;19
026a4715-f082-409e-ba8f-04a868c5fd19;aa94d562-9a81-4bb6-b234-bf16bd5e712f;5
026a4715-f082-409e-ba8f-04a868c5fd19;b49d3e5b-d48e-4bf7-9e62-b71178cd6b7f;1
026a4715-f082-409e-ba8f-04a868c5fd19;b7077c28-3374-4e66-a98d-db601027ff2b;11
